Id,Id2,Geography,Estimate; Total:,Under 50K,Over 50K
8600000US50619,50619,ZCTA5 50619,942,494,448
8600000US50620,50620,ZCTA5 50620,20,12,8
8600000US50621,50621,ZCTA5 50621,672,282,390
8600000US50622,50622,ZCTA5 50622,1326,439,887
8600000US50624,50624,ZCTA5 50624,719,215,504
8600000US50625,50625,ZCTA5 50625,425,227,198
8600000US50626,50626,ZCTA5 50626,714,297,417
8600000US50627,50627,ZCTA5 50627,1340,670,670
8600000US50628,50628,ZCTA5 50628,557,302,255
8600000US50629,50629,ZCTA5 50629,857,373,484
8600000US50630,50630,ZCTA5 50630,882,466,416
8600000US50632,50632,ZCTA5 50632,421,182,239
8600000US50633,50633,ZCTA5 50633,175,113,62
8600000US50634,50634,ZCTA5 50634,344,174,170
8600000US50635,50635,ZCTA5 50635,675,265,410
8600000US50636,50636,ZCTA5 50636,826,422,404
8600000US50638,50638,ZCTA5 50638,1400,687,713
8600000US50641,50641,ZCTA5 50641,632,352,280
8600000US50642,50642,ZCTA5 50642,186,77,109
8600000US50643,50643,ZCTA5 50643,1107,286,821
8600000US50644,50644,ZCTA5 50644,3577,1552,2025
8600000US50645,50645,ZCTA5 50645,453,278,175
8600000US50647,50647,ZCTA5 50647,721,289,432
8600000US50648,50648,ZCTA5 50648,1662,637,1025
8600000US50650,50650,ZCTA5 50650,252,131,121
8600000US50651,50651,ZCTA5 50651,1403,570,833
8600000US50652,50652,ZCTA5 50652,45,40,5
8600000US50653,50653,ZCTA5 50653,213,94,119
8600000US50654,50654,ZCTA5 50654,190,87,103
8600000US50655,50655,ZCTA5 50655,320,158,162
8600000US50658,50658,ZCTA5 50658,1028,481,547
8600000US50659,50659,ZCTA5 50659,2352,1270,1082
8600000US50660,50660,ZCTA5 50660,579,221,358
8600000US50662,50662,ZCTA5 50662,3030,1939,1091
8600000US50664,50664,ZCTA5 50664,17,0,17
8600000US50665,50665,ZCTA5 50665,1211,603,608
8600000US50666,50666,ZCTA5 50666,370,141,229
8600000US50667,50667,ZCTA5 50667,305,101,204
8600000US50668,50668,ZCTA5 50668,512,202,310
8600000US50669,50669,ZCTA5 50669,1080,500,580
8600000US50670,50670,ZCTA5 50670,853,345,508
8600000US50671,50671,ZCTA5 50671,88,29,59
8600000US50672,50672,ZCTA5 50672,214,115,99
8600000US50673,50673,ZCTA5 50673,69,25,44
8600000US50674,50674,ZCTA5 50674,1497,620,877
8600000US50675,50675,ZCTA5 50675,983,409,574
8600000US50676,50676,ZCTA5 50676,869,453,416
8600000US50677,50677,ZCTA5 50677,4380,1654,2726
8600000US50680,50680,ZCTA5 50680,553,244,309
8600000US50681,50681,ZCTA5 50681,188,64,124
8600000US50682,50682,ZCTA5 50682,648,199,449
8600000US50701,50701,ZCTA5 50701,12738,6139,6599
8600000US50702,50702,ZCTA5 50702,8542,4869,3673
8600000US50703,50703,ZCTA5 50703,7757,5267,2490
8600000US50707,50707,ZCTA5 50707,3439,2036,1403
8600000US50801,50801,ZCTA5 50801,4034,2285,1749
8600000US50830,50830,ZCTA5 50830,723,379,344
8600000US50833,50833,ZCTA5 50833,925,514,411
8600000US50835,50835,ZCTA5 50835,50,9,41
8600000US50836,50836,ZCTA5 50836,177,105,72
8600000US50837,50837,ZCTA5 50837,142,96,46
8600000US50839,50839,ZCTA5 50839,18,16,2
8600000US50840,50840,ZCTA5 50840,244,148,96
8600000US50841,50841,ZCTA5 50841,1196,619,577
8600000US50842,50842,ZCTA5 50842,40,17,23
8600000US50843,50843,ZCTA5 50843,255,153,102
8600000US50845,50845,ZCTA5 50845,308,163,145
8600000US50846,50846,ZCTA5 50846,475,278,197
8600000US50847,50847,ZCTA5 50847,37,32,5
8600000US50848,50848,ZCTA5 50848,202,101,101
8600000US50849,50849,ZCTA5 50849,1140,624,516
8600000US50851,50851,ZCTA5 50851,926,539,387
8600000US50853,50853,ZCTA5 50853,306,163,143
8600000US50854,50854,ZCTA5 50854,955,547,408
8600000US50857,50857,ZCTA5 50857,123,61,62
8600000US50858,50858,ZCTA5 50858,318,147,171
8600000US50859,50859,ZCTA5 50859,279,124,155
8600000US50860,50860,ZCTA5 50860,128,79,49
8600000US50861,50861,ZCTA5 50861,142,83,59
8600000US50862,50862,ZCTA5 50862,59,27,32
8600000US50863,50863,ZCTA5 50863,114,43,71
8600000US50864,50864,ZCTA5 50864,891,553,338
8600000US51001,51001,ZCTA5 51001,1014,474,540
8600000US51002,51002,ZCTA5 51002,1160,566,594
8600000US51003,51003,ZCTA5 51003,697,261,436
8600000US51004,51004,ZCTA5 51004,510,276,234
8600000US51005,51005,ZCTA5 51005,623,271,352
8600000US51006,51006,ZCTA5 51006,498,297,201
8600000US51007,51007,ZCTA5 51007,254,94,160
8600000US51008,51008,ZCTA5 51008,48,22,26
8600000US51009,51009,ZCTA5 51009,93,33,60
8600000US51010,51010,ZCTA5 51010,203,146,57
8600000US51011,51011,ZCTA5 51011,24,12,12
8600000US51012,51012,ZCTA5 51012,2917,1564,1353
8600000US51014,51014,ZCTA5 51014,213,79,134
8600000US51016,51016,ZCTA5 51016,528,302,226
8600000US51018,51018,ZCTA5 51018,169,104,65
8600000US51019,51019,ZCTA5 51019,323,138,185
8600000US51020,51020,ZCTA5 51020,244,116,128
8600000US51022,51022,ZCTA5 51022,328,139,189
8600000US51023,51023,ZCTA5 51023,1275,582,693
8600000US51024,51024,ZCTA5 51024,706,220,486
8600000US51025,51025,ZCTA5 51025,859,416,443
8600000US51026,51026,ZCTA5 51026,364,157,207
8600000US51027,51027,ZCTA5 51027,435,204,231
8600000US51028,51028,ZCTA5 51028,815,306,509
8600000US51029,51029,ZCTA5 51029,161,67,94
8600000US51030,51030,ZCTA5 51030,641,183,458
8600000US51031,51031,ZCTA5 51031,5087,2363,2724
8600000US51033,51033,ZCTA5 51033,218,94,124
8600000US51034,51034,ZCTA5 51034,830,430,400
8600000US51035,51035,ZCTA5 51035,750,344,406
8600000US51036,51036,ZCTA5 51036,211,89,122
8600000US51037,51037,ZCTA5 51037,159,111,48
8600000US51038,51038,ZCTA5 51038,716,315,401
8600000US51039,51039,ZCTA5 51039,947,367,580
8600000US51040,51040,ZCTA5 51040,1548,1007,541
8600000US51041,51041,ZCTA5 51041,2301,863,1438
8600000US51044,51044,ZCTA5 51044,87,51,36
8600000US51046,51046,ZCTA5 51046,712,305,407
8600000US51047,51047,ZCTA5 51047,320,151,169
8600000US51048,51048,ZCTA5 51048,264,150,114
8600000US51049,51049,ZCTA5 51049,224,136,88
8600000US51050,51050,ZCTA5 51050,990,394,596
8600000US51051,51051,ZCTA5 51051,42,38,4
8600000US51052,51052,ZCTA5 51052,347,120,227
8600000US51053,51053,ZCTA5 51053,451,226,225
8600000US51054,51054,ZCTA5 51054,1760,592,1168
8600000US51055,51055,ZCTA5 51055,567,226,341
8600000US51056,51056,ZCTA5 51056,192,100,92
8600000US51058,51058,ZCTA5 51058,415,202,213
8600000US51060,51060,ZCTA5 51060,259,156,103
8600000US51061,51061,ZCTA5 51061,235,114,121
8600000US51062,51062,ZCTA5 51062,215,101,114
8600000US51063,51063,ZCTA5 51063,505,276,229
8600000US51101,51101,ZCTA5 51101,445,431,14
8600000US51103,51103,ZCTA5 51103,6117,3875,2242
8600000US51104,51104,ZCTA5 51104,8381,3826,4555
8600000US51105,51105,ZCTA5 51105,3565,2683,882
8600000US51106,51106,ZCTA5 51106,10439,5023,5416
8600000US51108,51108,ZCTA5 51108,2139,1065,1074
8600000US51109,51109,ZCTA5 51109,1234,772,462
8600000US51111,51111,ZCTA5 51111,72,18,54
8600000US51201,51201,ZCTA5 51201,2631,1177,1454
8600000US51230,51230,ZCTA5 51230,136,56,80
8600000US51231,51231,ZCTA5 51231,135,42,93
8600000US51232,51232,ZCTA5 51232,370,192,178
8600000US51234,51234,ZCTA5 51234,434,190,244
8600000US51235,51235,ZCTA5 51235,406,155,251
8600000US51237,51237,ZCTA5 51237,707,317,390
8600000US51238,51238,ZCTA5 51238,437,185,252
8600000US51239,51239,ZCTA5 51239,1107,434,673
8600000US51240,51240,ZCTA5 51240,697,335,362
8600000US51241,51241,ZCTA5 51241,653,208,445
8600000US51242,51242,ZCTA5 51242,88,29,59
8600000US51243,51243,ZCTA5 51243,406,158,248
8600000US51244,51244,ZCTA5 51244,30,11,19
8600000US51245,51245,ZCTA5 51245,450,208,242
8600000US51246,51246,ZCTA5 51246,1412,628,784
8600000US51247,51247,ZCTA5 51247,1747,738,1009
8600000US51248,51248,ZCTA5 51248,746,354,392
8600000US51249,51249,ZCTA5 51249,1358,769,589
8600000US51250,51250,ZCTA5 51250,2684,816,1868
8600000US51301,51301,ZCTA5 51301,5489,2793,2696
8600000US51331,51331,ZCTA5 51331,594,330,264
8600000US51333,51333,ZCTA5 51333,191,81,110
8600000US51334,51334,ZCTA5 51334,3011,1596,1415
8600000US51338,51338,ZCTA5 51338,395,148,247
8600000US51341,51341,ZCTA5 51341,26,17,9
8600000US51342,51342,ZCTA5 51342,479,268,211
8600000US51343,51343,ZCTA5 51343,133,73,60
8600000US51345,51345,ZCTA5 51345,200,75,125
8600000US51346,51346,ZCTA5 51346,1002,491,511
8600000US51347,51347,ZCTA5 51347,590,232,358
8600000US51350,51350,ZCTA5 51350,212,82,130
8600000US51351,51351,ZCTA5 51351,1998,944,1054
8600000US51354,51354,ZCTA5 51354,484,226,258
8600000US51355,51355,ZCTA5 51355,400,177,223
