Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,04-14 Percentage,Total Enplanements,CY 14 Enplanements,CY 13 Enplanements,CY 12 Enplanements,CY 11 Enplanements,CY 10 Enplanements,CY 09 Boardings,CY 08 Boardings,CY2007 Enplanements,CY 2006 Enplanements,CY 05 Enplanements,CY 04 Enplanements
1300,EA,VA,BCB,Blacksburg,Virginia Tech/Montgomery Executive,GA,None,0%,293,11,37,10,3,10,18,89,24,57,13,21
1316,EA,VA,HLX,Hillsville,Twin County,GA,None,0%,0,0,,,,,,,,,,
1321,EA,VA,MFV,Melfa,Accomack County,GA,None,0%,228,1,2,20,,,62,7,46,90,,
1328,EA,VA,PSK,Dublin,New River Valley,GA,None,0%,278,0,19,90,1,3,,,18,16,66,65
1310,GL,WI,ETB,West Bend,West Bend Municipal,GA,None,0%,"4,427",3,5,0,3,15,,,35,2500,1825,41
1331,GL,WI,RYV,Watertown,Watertown Municipal,GA,None,0%,56,0,,,,,20,12,7,4,3,10
1307,NM,WY,DWX,Dixon,Dixon,GA,None,0%,60,9,40,11,,,,,,,,
1342,AL,AK,0AA4,Farewell,Farewell,GA,None,0%,3,3,,,,,,,,,,
1346,AL,AK,4AK1,Deadhorse,Inigok,GA,None,0%,610,17,3,3,3,14,,,8,2,18,542
1351,AL,AK,AK40,McGrath,Nixon Fork Mine,GA,None,0%,"3,618",0,10,20,2397,60,72,120,483,224,73,159
1361,AL,AK,FLT,Flat,Flat,GA,None,0%,107,2,11,5,10,5,2,2,15,3,49,3
1355,SO,AL,CQF,Fairhope,H. L. (Sonny) Callahan,GA,None,0%,248,4,206,31,7,0,,,,,,
1353,WP,AZ,CGZ,Casa Grande,Casa Grande Municipal,GA,None,0%,75,3,60,2,4,3,,,3,0,,
1385,WP,AZ,SAD,Safford,Safford Regional,GA,None,0%,30,0,13,5,,,2,4,2,4,,
1358,WP,CA,DVO,Novato,Gnoss Field,GA,None,0%,143,2,1,0,,,35,13,2,69,21,0
1373,WP,CA,MHV,Mojave,Mojave Air and Space Port,GA,None,0%,227,2,8,10,,,2,128,2,0,12,63
1386,WP,CA,SEE,San Diego,Gillespie Field,GA,None,0%,386,10,5,33,,,23,131,53,51,5,75
1366,NM,CO,HEQ,Holyoke,Holyoke,GA,None,0%,16,1,11,0,,,,,,,4,0
1391,NM,CO,TAD,Trinidad,Perry Stokes,GA,None,0%,13,0,8,0,,,,,3,0,2,0
1352,SO,FL,CGC,Crystal River,Crystal River-Captain Tom Davis Field,GA,None,0%,167,0,25,0,2,13,23,23,,,1,80
1393,SO,GA,TOC,Toccoa,Toccoa - R G LeTourneau Field,GA,None,0%,64,4,18,0,,,6,28,8,0,,
1368,CE,IA,IIB,Independence,Independence Municipal,GA,None,0%,1,0,,,,,1,0,,,,
1389,CE,IA,SOY,Sioux Center,Sioux Center Municipal,GA,None,0%,145,2,,,,,23,12,21,55,15,17
1347,NM,ID,66S,Coolin,Cavanaugh Bay,GA,None,0%,0,0,,,,,,,,,,
1349,NM,ID,90ID,Meridian,St Luke's Meridian Medical Center,GA,None,0%,0,0,,,,,,,,,,
1356,NM,ID,DIJ,Driggs,Driggs-Reed Memorial,GA,None,0%,222,3,78,10,14,26,10,50,3,22,4,2
1382,NM,ID,RXE,Rexburg,Rexburg-Madison County,GA,None,0%,51,0,,,7,14,15,0,15,0,,
1390,NM,ID,SZT,Sandpoint,Sandpoint,GA,None,0%,"1,234",0,24,20,15,138,162,663,177,6,11,18
1395,NM,ID,U02,Blackfoot,McCarley Field,GA,None,0%,17,0,,,3,2,9,0,3,0,,
1371,GL,IN,MGC,Michigan City,Michigan City Municipal-Phillips Field,GA,None,0%,9,0,,,,,,,,,6,3
1343,NE,MA,1B2,Edgartown,Katama Airpark,GA,None,0%,32,6,,,13,0,7,6,,,,
1365,GL,MI,HAI,Three Rivers,Three Rivers Municipal Dr Haines,GA,None,0%,5,0,,,,,,,4,1,,
1387,GL,MI,SJX,Beaver Island,Beaver Island,GA,None,0%,"14,985","4,249",5368,5368,,,,,,,,
1388,GL,MI,SLH,Cheboygan,Cheboygan County,GA,None,0%,269,0,8,0,,,66,54,2,106,31,2
1350,GL,MN,AEL,Albert Lea,Albert Lea Municipal,GA,None,0%,46,0,13,0,7,8,1,0,,,16,1
1375,GL,MN,MKT,Mankato,Mankato Regional,GA,None,0%,184,2,41,7,,,8,4,6,16,43,57
1369,NM,MT,LVM,Livingston,Mission Field,GA,None,0%,189,0,130,0,,,2,7,10,28,11,1
1383,NM,MT,S01,Conrad,Conrad,GA,None,0%,0,0,,,,,,,,,,
1376,SO,NC,MQI,Manteo,Dare County Regional,GA,None,0%,304,7,82,7,8,34,13,19,85,17,24,8
1392,SO,NC,TDF,Roxboro,Person County,GA,None,0%,279,0,9,0,,,54,57,74,10,4,71
1367,NE,NH,HIE,Whitefield,Mount Washington Regional,GA,None,0%,13,0,2,0,,,,,10,1,,
1374,EA,NJ,MIV,Millville,Millville Municipal,GA,None,0%,124,0,8,9,19,6,5,30,22,6,11,8
