Rank,FAA Region,ADO,ST,Locid,Airport Name,City,Service Level,Hub,2004-2014 Percentage,2004-2014 (lbs),2014 (lbs),2013 (lbs),2012 (lbs),2011 (lbs),2010 (lbs),2009 (lbs),2008 (lbs),2007 (lbs),2006 (lbs),2005 (lbs),2004 (lbs)
23,GL,DMA,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain,Minneapolis,P,L,1%,"9,522,871,216","972,664,080","732,663,072","875,841,084","968,650,986","1,024,128,613","948,064,510","  1,123,477,820","  1,223,365,927","1,240,005,584","1,404,626,437","1,356,226,850"
28,GL,CHI,IL,RFD,Chicago/Rockford International,Rockford,P,N,1%,"9,476,147,022","788,773,800","792,674,210","822,206,730","888,721,860","917,260,300","1,128,804,190","  1,419,957,532","  1,474,574,465","1,391,634,140","1,392,559,040","1,353,512,752"
24,NM,DEN,UT,SLC,Salt Lake City International,Salt Lake City,P,L,1%,"8,892,497,497","962,293,488","934,455,550","876,163,077","856,301,628","848,125,292","898,534,081","  1,042,505,101","  1,070,964,110","1,095,714,195","1,179,140,489","1,241,769,697"
26,SO,ATL,PR,SJU,Luis Munoz Marin International,San Juan,P,M,1%,"8,749,143,048","850,270,758","847,031,376","849,842,262","867,078,992","882,936,872","1,086,774,488","  862,034,200","  1,044,179,900","1,211,392,900","1,249,975,700","903,839,700"
25,NE,ANE,MA,BOS,General Edward Lawrence Logan International,Boston,P,L,1%,"8,439,401,682","910,283,225","866,698,830","780,913,850","806,845,332","817,235,460","835,954,035","  984,258,400","  1,059,947,900","1,100,485,850","1,148,881,400","1,172,103,700"
30,SO,ORL,FL,MCO,Orlando International,Orlando,P,L,1%,"7,843,248,000","756,120,798","698,556,765","725,505,195","805,685,900","796,032,605","782,467,887","  850,924,152","  966,199,390","962,716,820","1,155,649,650","1,160,512,380"
27,NM,SEA,WA,BFI,Boeing Field/King County International,Seattle,P,N,1%,"7,620,842,170","815,258,980","759,444,826","791,928,576","909,809,432","906,716,494","894,664,512","  835,114,481","  805,503,706","784,084,940","866,798,960","892,135,450"
29,NE,ANE,CT,BDL,Bradley International,Windsor Locks,P,M,1%,"7,340,764,624","783,504,420","773,858,840","728,576,156","750,158,976","730,317,638","763,441,994","  865,786,122","  918,575,800","953,073,900","967,385,010","890,447,690"
34,SW,TEX,TX,AFW,Fort Worth Alliance,Fort Worth,R,-,1%,"7,174,138,457","667,945,474","636,920,725","634,122,590","898,583,721","700,934,744","597,945,014","  898,471,054","  1,113,496,882","1,288,235,456","1,002,009,883","747,440,850"
31,SW,TEX,TX,SAT,San Antonio International,San Antonio,P,M,1%,"6,681,492,600","746,704,930","737,330,634","809,391,614","748,533,304","674,796,388","671,660,636","  823,130,548","  814,677,618","795,980,856","761,188,750","735,905,488"
32,GL,DET,OH,LCK,Rickenbacker International,Columbus,P,N,1%,"6,311,439,856","734,846,781","695,589,751","694,785,131","653,902,306","683,430,047","646,330,758","  730,520,067","  814,028,898","856,600,678","751,874,024","594,080,380"
33,GL,DET,MI,DTW,Detroit Metropolitan Wayne County,Detroit,P,L,0%,"6,007,327,650","674,728,030","682,197,220","666,139,040","602,804,150","552,232,440","584,958,610","  707,516,080","  795,592,101","789,545,530","757,250,080","697,472,550"
36,WP,LAX,CA,SAN,San Diego International,San Diego,P,L,0%,"5,978,491,518","586,689,250","678,012,288","682,919,800","650,313,950","630,150,500","637,289,000","  666,907,600","  691,895,850","731,032,300","741,194,830","640,889,600"
107,GL,DET,OH,TOL,Toledo Express,Toledo,P,N,0%,"5,774,165,360","122,077,000","129,470,000","122,024,000","650,714,500","894,480,320","946,071,300","  940,893,800","  942,836,600","919,023,400","985,860,120","1,004,444,720"
35,SO,ATL,PR,BQN,Rafael Hernandez,Aguadilla,P,N,0%,"5,606,343,860","660,524,330","716,596,030","822,224,300","666,221,700","514,800,900","509,888,900","  643,473,100","  621,002,600","594,486,200","572,613,000","548,988,500"
37,SW,LANM,NM,ABQ,Albuquerque International Sunport,Albuquerque,P,M,0%,"5,405,173,844","569,465,958","567,236,072","568,151,446","593,136,032","598,981,698","579,793,842","  629,630,968","  677,554,390","656,929,174","648,927,044","622,552,578"
41,CE,ACE,MO,MCI,Kansas City International,Kansas City,P,M,0%,"5,387,276,955","497,633,875","487,687,191","427,136,299","423,890,310","431,918,705","455,152,003","  588,239,556","  682,719,416","795,411,802","925,314,740","943,132,030"
38,SO,MEM,NC,GSO,Piedmont Triad International,Greensboro,P,S,0%,"5,088,288,805","535,652,851","605,622,410","605,933,879","608,006,690","611,844,976","558,148,546","  463,403,755","  457,353,868","531,170,660","500,225,543","531,683,250"
40,SO,ORL,FL,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,P,L,0%,"5,049,277,084","508,118,870","446,326,310","447,296,904","425,869,500","475,869,850","501,250,900","  671,912,450","  756,701,200","766,636,900","743,553,600","734,354,250"
57,SO,ATL,SC,CAE,Columbia Metropolitan,Columbia,P,S,0%,"4,976,447,445","394,282,025","392,031,775","382,387,080","382,558,255","399,225,270","564,044,465","  862,796,804","  812,902,185","792,976,600","784,601,525","884,340,450"
42,SW,TEX,TX,ELP,El Paso International,El Paso,P,S,0%,"4,573,905,042","497,118,706","480,568,188","554,800,910","533,568,718","528,987,300","391,440,080","  447,841,040","  570,337,420","520,893,380","569,703,600","496,824,160"
