,FAA Region,ST,Locid,City,Airport Name,Hub,04-14 perc. enplanements,Total Enplanements
1135,AL,AK,5A8,Aleknagik,Aleknagik /New,None,0%,101
1136,AL,AK,AK60,Jensens,Fort Jensen,None,0%,210
1137,AL,AK,AK75,Candle,Candle 2,None,0%,218
1138,AL,AK,KPC,Port Clarence,Port Clarence CGS,None,0%,"1,029"
1139,WP,AZ,GEU,Glendale,Glendale Municipal,None,0%,775
1140,WP,AZ,PCA,Picacho,Picacho Arng,None,0%,0
1141,GL,IL,ARR,Aurora,Aurora Municipal,None,0%,445
1142,GL,IL,RPJ,Rochelle,Rochelle Municipal Airport-Koritz Field,None,0%,16
1143,NE,MA,LWM,Lawrence,Lawrence Municipal,None,0%,299
1144,NE,ME,IWI,Wiscasset,Wiscasset,None,0%,144
1145,NM,MT,DLN,Dillon,Dillon,None,0%,332
1146,NM,OR,22S,Paisley,Paisley,None,0%,0
1147,NM,OR,3S8,Grants Pass,Grants Pass,None,0%,84
1148,NM,OR,BOK,Brookings,Brookings,None,0%,151
1149,NM,OR,TTD,Portland,Portland-Troutdale,None,0%,86
1150,EA,PA,HMZ,Bedford,Bedford County,None,0%,13
1151,SO,SC,5J5,Holly Hill,Holly Hill,None,0%,0
1152,NM,UT,PUC,Price,Carbon County Regional/Buck Davis Field,None,0%,639
1153,NM,WA,7WA5,Stuart Island,Stuart Island Airpark,None,0%,0
1154,NM,WY,EVW,Evanston,Evanston-Uinta County Burns Field,None,0%,32
1155,AL,AK,CEM,Central,Central,None,0%,335
1156,SO,FL,EVB,New Smyrna Beach,New Smyrna Beach Municipal,None,0%,"1,504"
1157,SO,FL,LEE,Leesburg,Leesburg International,None,0%,153
1158,SO,GA,DNL,Augusta,Daniel Field,None,0%,123
1159,GL,MI,4D0,Grand Ledge,Abrams Municipal,None,0%,120
1160,GL,MN,CHU,Caledonia,Houston County,None,0%,0
1161,GL,MN,EVM,Eveleth,Eveleth-Virginia Municipal,None,0%,57
1162,CE,NE,VTN,Valentine,Miller Field,None,0%,102
1163,EA,NY,SCH,Schenectady,Schenectady County,None,0%,441
1164,SW,OK,GUY,Guymon,Guymon Municipal,None,0%,736
1165,EA,PA,N94,Carlisle,Carlisle,None,0%,81
1166,SO,SC,SPA,Spartanburg,Spartanburg Downtown Memorial,None,0%,559
1167,SW,TX,CZT,Carrizo Springs,Dimmit County,None,0%,305
1168,SW,TX,MDD,Midland,Midland Airpark,None,0%,681
1169,NM,UT,BDG,Blanding,Blanding Municipal,None,0%,21
1170,NM,UT,U52,Beaver,Beaver Municipal,None,0%,140
1171,EA,VA,CJR,Culpeper,Culpeper Regional,None,0%,54
1172,NE,VT,DDH,Bennington,William H Morse State,None,0%,64
1173,NM,WY,PNA,Pinedale,Ralph Wenz Field,None,0%,546
1174,WP,CA,L08,Borrego Springs,Borrego Valley,None,0%,260
1175,WP,CA,TVL,South Lake Tahoe,Lake Tahoe,None,0%,799
1176,SO,FL,OCF,Ocala,Ocala International-Jim Taylor Field,None,0%,"2,560"
1177,SO,KY,LOU,Louisville,Bowman Field,None,0%,"1,064"
1178,NE,ME,HUL,Houlton,Houlton International,None,0%,126
1179,GL,MI,JXN,Jackson,Jackson County-Reynolds Field,None,0%,693
1180,NE,NH,ASH,Nashua,Boire Field,None,0%,262
1181,GL,OH,LPR,Lorain,Lorain County Regional,None,0%,269
1182,GL,OH,MNN,Marion,Marion Municipal,None,0%,168
1183,GL,OH,OSU,Columbus,Ohio State University,None,0%,"1,850"
1184,SW,OK,1K8,Ketchum,South Grand Lake Regional,None,0%,9
1185,NM,OR,16S,Myrtle Creek,Myrtle Creek Municipal,None,0%,0
1186,NM,OR,S05,Bandon,Bandon State,None,0%,102
1187,NM,OR,SLE,Salem,McNary Field,None,0%,"29,073"
1188,EA,PA,SEG,Selinsgrove,Penn Valley,None,0%,105
1189,SO,SC,LQK,Pickens,Pickens County,None,0%,107
1190,SW,TX,E38,Alpine,Alpine-Casparis Municipal,None,0%,527
1191,NM,UT,RIF,Richfield,Richfield Municipal,None,0%,182
1192,NM,WA,S43,Snohomish,Harvey Field,None,0%,20
1193,GL,WI,RAC,Racine,John H Batten,None,0%,261
1194,AL,AK,7KA,Tatitlek,Tatitlek,None,0%,"2,392"
1195,WP,CA,RAL,Riverside,Riverside Municipal,None,0%,100
1196,NM,CO,07V,La Veta,Cuchara Valley at La Veta,None,0%,14
1197,SO,FL,BKV,Brooksville,Brooksville-Tampa Bay Regional,None,0%,120
1198,SO,GA,DNN,Dalton,Dalton Municipal,None,0%,116
1199,SO,GA,MCN,Macon,Middle Georgia Regional,None,0%,"95,009"
1200,CE,IA,SPW,Spencer,Spencer Municipal,None,0%,960
1201,GL,IN,GSH,Goshen,Goshen Municipal,None,0%,132
1202,EA,MD,2W5,Indian Head,Maryland,None,0%,1
1203,EA,MD,MD1,Massey,Massey Aerodrome,None,0%,4
1204,NE,ME,ME16,Limestone,Loring International,None,0%,0
1205,GL,MI,RNP,Owosso,Owosso Community,None,0%,10
1206,SO,NC,SVH,Statesville,Statesville Regional,None,0%,257
1207,CE,NE,BIE,Beatrice,Beatrice Municipal,None,0%,31
1208,SW,NM,0.00E+00,Moriarty,Moriarty,None,0%,666
1209,GL,OH,TZR,Columbus,Bolton Field,None,0%,75
1210,NM,OR,DLS,Dallesport,Columbia Gorge Regional/The Dalles Municipal,None,0%,153
1211,EA,PA,4PN7,Eagles Mere,Merritt Field,None,0%,8
1212,EA,PA,CXY,New Cumberland,Capital City,None,0%,950
1213,SW,TX,EDC,Austin,Austin Executive,None,0%,125
1214,EA,VA,HSP,Hot Springs,Ingalls Field,None,0%,213
1215,NE,VT,4V8,West Dover,Deerfield Valley Regional,None,0%,2
1216,NM,WY,THP,Thermopolis,Hot Springs County-Thermopolis Municipal,None,0%,0
1217,SW,AR,3AR9,Paragould,Hog Air Aviation Inc,None,0%,559
1218,WP,CA,CIC,Chico,Chico Municipal,None,0%,"229,891"
1219,WP,CA,O41,Woodland,Watts-Woodland,None,0%,12
1220,WP,CA,PRB,Paso Robles,Paso Robles Municipal,None,0%,"1,099"
1221,NM,CO,GXY,Greeley,Greeley-Weld County,None,0%,146
1222,NM,CO,PSO,Pagosa Springs,Stevens Field,None,0%,267
1223,SO,GA,RYY,Marietta,Cobb County International-McCollum Field,None,0%,"1,937"
1224,CE,IA,OTM,Ottumwa,Ottumwa Regional,None,0%,"1,324"
1225,GL,IN,GWB,Auburn,De Kalb County,None,0%,112
1226,SO,KY,27K,Georgetown,Georgetown Scott County - Marshall Field,None,0%,176
1227,SO,KY,LOZ,London,London-Corbin Airport-Magee Field,None,0%,100
1228,NE,ME,MVM,Machias,Machias Valley,None,0%,44
1229,GL,MI,CAD,Cadillac,Wexford County,None,0%,733
1230,GL,MN,DTL,Detroit Lakes,Detroit Lakes-Wething Field,None,0%,60
1231,SO,NC,EDE,Edenton,Northeastern Regional,None,0%,24
1232,SO,NC,EQY,Monroe,Charlotte-Monroe Executive,None,0%,162
1233,GL,ND,9Y1,Killdeer,Dunn County Weydahl Field,None,0%,0
1234,WP,NV,WMC,Winnemucca,Winnemucca Municipal,None,0%,208
1235,EA,NY,6B9,Skaneateles,Skaneateles Aero Drome,None,0%,27
1236,EA,NY,GVQ,Batavia,Genesee County,None,0%,67
1237,EA,NY,N66,Oneonta,Oneonta Municipal,None,0%,122
1238,GL,OH,MGY,Dayton,Dayton-Wright Brothers,None,0%,421
1239,SW,OK,GCM,Claremore,Claremore Regional,None,0%,8
1240,NM,OR,3S4,Cave Junction,Illinois Valley,None,0%,5
1241,SO,SC,CKI,Kingstree,Williamsburg Regional,None,0%,93
1242,GL,SD,ICR,Winner,Winner Regional,None,0%,179
1243,SO,TN,MMI,Athens,McMinn County,None,0%,72
1244,SW,TX,ATA,Atlanta,Hall-Miller Municipal,None,0%,18
1245,EA,VA,MTV,Spencer,Blue Ridge,None,0%,228
1246,EA,VA,OKV,Winchester,Winchester Regional,None,0%,382
1247,NM,WA,68S,Davenport,Davenport,None,0%,72
1248,NM,WA,S18,Forks,Forks,None,0%,81
1249,GL,WI,CLI,Clintonville,Clintonville Municipal,None,0%,24
1250,NM,WY,AFO,Afton,Afton Municipal,None,0%,46
1251,AL,AK,AQY,Girdwood,Girdwood,None,0%,"15,952"
1252,WP,CA,BIH,Bishop,Bishop,None,0%,62
1253,WP,CA,HWD,Hayward,Hayward Executive,None,0%,557
1254,WP,CA,MHR,Sacramento,Sacramento Mather,None,0%,"3,603"
1255,WP,CA,PTV,Porterville,Porterville Municipal,None,0%,1
1256,SO,FL,FHB,Fernandina Beach,Fernandina Beach Municipal,None,0%,392
1257,SO,FL,SEF,Sebring,Sebring Regional,None,0%,73
1258,SO,GA,3J7,Greensboro,Greene County Regional,None,0%,110
1259,SO,GA,CCO,Newnan,Newnan Coweta County,None,0%,10
1260,CE,IA,CBF,Council Bluffs,Council Bluffs Municipal,None,0%,"1,864"
1261,CE,IA,MUT,Muscatine,Muscatine Municipal,None,0%,98
1262,GL,IN,RID,Richmond,Richmond Municipal,None,0%,348
1263,SO,KY,I93,Hardinsburg,Breckinridge County,None,0%,0
1264,NE,MA,GBR,Great Barrington,Walter J Koladza,None,0%,19
1265,GL,MI,35D,Allegan,Padgham Field,None,0%,106
1266,GL,MI,50G,Chesaning,Howard Nixon Memorial,None,0%,0
1267,GL,MI,BEH,Benton Harbor,Southwest Michigan Regional,None,0%,397
1268,GL,MI,C04,Hart,Oceana County,None,0%,1
1269,GL,MI,ISQ,Manistique,Schoolcraft County,None,0%,54
1270,NM,MT,38S,Deer Lodge,Deer Lodge-City-County,None,0%,44
1271,NM,MT,3U3,Anaconda,Bowman Field,None,0%,134
1272,SO,NC,RUQ,Salisbury,Rowan County,None,0%,177
1273,CE,NE,OLU,Columbus,Columbus Municipal,None,0%,76
1274,SW,NM,SRR,Ruidoso,Sierra Blanca Regional,None,0%,732
1275,EA,NY,CZG,Endicott,Tri-Cities,None,0%,0
1276,EA,NY,OLE,Olean,Cattaraugus County-Olean,None,0%,108
1277,GL,OH,DFI,Defiance,Defiance Memorial,None,0%,0
1278,GL,OH,FDY,Findlay,Findlay,None,0%,966
1279,EA,PA,BTP,Butler,Butler County/K W Scholter Field,None,0%,261
1280,GL,SD,49B,Sturgis,Sturgis Municipal,None,0%,222
1281,GL,SD,SPF,Spearfish,Black Hills-Clyde Ice Field,None,0%,741
1282,SW,TX,15F,Haskell,Haskell Municipal,None,0%,0
1283,EA,VA,RMN,Stafford,Stafford Regional,None,0%,355
1284,NM,WA,38WA,Blakely Island,Blakely Island,None,0%,33
1285,NM,WA,ELN,Ellensburg,Bowers Field,None,0%,262
1286,NM,WA,KLS,Kelso,Southwest Washington Regional,None,0%,18
1287,NM,WA,PWT,Bremerton,Bremerton National,None,0%,"1,324"
1288,GL,WI,MTW,Manitowoc,Manitowoc County,None,0%,494
1289,NM,WY,EMM,Kemmerer,Kemmerer Municipal,None,0%,97
1290,NM,WY,LND,Lander,Hunt Field,None,0%,109
1291,AL,AK,KMY,Moser Bay,Moser Bay,None,0%,211
1292,AL,AK,Z17,Ophir,Ophir,None,0%,71
1293,WP,AZ,PAN,Payson,Payson,None,0%,244
1294,WP,CA,DWA,Davis,Yolo County,None,0%,54
1295,WP,CA,MER,Atwater,Castle,None,0%,"4,970"
1296,EA,DE,EVY,Middletown,Summit,None,0%,251
1297,SO,FL,AVO,Avon Park,Avon Park Executive,None,0%,69
1298,SO,GA,BGE,Bainbridge,Decatur County Industrial Air Park,None,0%,86
1299,SO,GA,TBR,Statesboro,Statesboro-Bulloch County,None,0%,57
1300,NM,ID,MAN,Nampa,Nampa Municipal,None,0%,28
1301,GL,IL,C73,Dixon,Dixon Municipal-Charles R Walgreen Field,None,0%,0
1302,GL,IL,TAZ,Taylorville,Taylorville Municipal,None,0%,4
1303,GL,IN,EYE,Indianapolis,Eagle Creek Airpark,None,0%,364
1304,GL,IN,HFY,Greenwood,Greenwood Municipal,None,0%,137
1305,GL,IN,PLD,Portland,Portland Municipal,None,0%,18
1306,NE,MA,7B2,Northampton,Northampton,None,0%,68
1307,EA,MD,OXB,Ocean City,Ocean City Municipal,None,0%,132
1308,GL,MI,AMN,Alma,Gratiot Community,None,0%,3
1309,GL,MI,HLM,Holland,Park Township,None,0%,133
1310,GL,MI,RQB,Big Rapids,Roben-Hood,None,0%,45
1311,GL,MI,Y70,Ionia,Ionia County,None,0%,8
1312,CE,MO,RCM,Warrensburg,Skyhaven,None,0%,11
1313,CE,MO,STJ,St. Joseph,Rosecrans Memorial,None,0%,"2,225"
1314,NM,MT,LWT,Lewistown,Lewistown Municipal,None,0%,"6,223"
1315,SO,NC,ECG,Elizabeth City,Elizabeth City CG Air Station/Regional,None,0%,173
1316,CE,NE,GRN,Gordon,Gordon Municipal,None,0%,2
1317,CE,NE,OFK,Norfolk,Norfolk Regional/Karl Stefan Memorial Field,None,0%,792
1318,EA,NJ,19N,Berlin,Camden County,None,0%,21
1319,GL,OH,3G3,Wadsworth,Wadsworth Municipal,None,0%,0
1320,GL,OH,PMH,Portsmouth,Greater Portsmouth Regional,None,0%,17
1321,GL,OH,SGH,Springfield,Springfield-Beckley Municipal,None,0%,438
1322,NM,OR,BDN,Bend,Bend Municipal,None,0%,689
1323,NM,OR,CVO,Corvallis,Corvallis Municipal,None,0%,259
1324,NM,OR,MMV,McMinnville,McMinnville Municipal,None,0%,398
1325,NM,OR,S45,Gleneden Beach,Siletz Bay State,None,0%,1
1326,EA,PA,VVS,Connellsville,Joseph A Hardy Connellsville,None,0%,0
1327,SO,SC,UDG,Darlington,Darlington County,None,0%,1
1328,SO,TN,1M5,Portland,Portland Municipal,None,0%,22
1329,SO,TN,4TN7,Huntingdon,Bmh-H,None,0%,0
1330,SW,TX,6R6,Dryden,Terrell County,None,0%,0
1331,SW,TX,CXO,Conroe,Lone Star Executive,None,0%,388
1332,SW,TX,ERV,Kerrville,Kerrville Municipal/Louis Schreiner Field,None,0%,287
1333,NM,UT,U64,Monticello,Monticello,None,0%,6
1334,EA,VA,BCB,Blacksburg,Virginia Tech/Montgomery Executive,None,0%,293
1335,EA,VA,HLX,Hillsville,Twin County,None,0%,0
1336,EA,VA,MFV,Melfa,Accomack County,None,0%,228
1337,EA,VA,PSK,Dublin,New River Valley,None,0%,278
1338,GL,WI,ETB,West Bend,West Bend Municipal,None,0%,"4,427"
1339,GL,WI,RYV,Watertown,Watertown Municipal,None,0%,56
1340,NM,WY,DWX,Dixon,Dixon,None,0%,60
1341,AL,AK,0AA4,Farewell,Farewell,None,0%,3
1342,AL,AK,4AK1,Deadhorse,Inigok,None,0%,610
1343,AL,AK,AK40,McGrath,Nixon Fork Mine,None,0%,"3,618"
1344,AL,AK,FLT,Flat,Flat,None,0%,107
1345,SO,AL,CQF,Fairhope,H. L. (Sonny) Callahan,None,0%,248
1346,WP,AZ,CGZ,Casa Grande,Casa Grande Municipal,None,0%,75
1347,WP,AZ,SAD,Safford,Safford Regional,None,0%,30
1348,WP,CA,DVO,Novato,Gnoss Field,None,0%,143
1349,WP,CA,MHV,Mojave,Mojave Air and Space Port,None,0%,227
1350,WP,CA,SEE,San Diego,Gillespie Field,None,0%,386
1351,NM,CO,HEQ,Holyoke,Holyoke,None,0%,16
1352,NM,CO,TAD,Trinidad,Perry Stokes,None,0%,13
1353,SO,FL,CGC,Crystal River,Crystal River-Captain Tom Davis Field,None,0%,167
1354,SO,GA,TOC,Toccoa,Toccoa - R G LeTourneau Field,None,0%,64
1355,CE,IA,IIB,Independence,Independence Municipal,None,0%,1
1356,CE,IA,SOY,Sioux Center,Sioux Center Municipal,None,0%,145
1357,NM,ID,66S,Coolin,Cavanaugh Bay,None,0%,0
1358,NM,ID,90ID,Meridian,St Luke's Meridian Medical Center,None,0%,0
1359,NM,ID,DIJ,Driggs,Driggs-Reed Memorial,None,0%,222
1360,NM,ID,RXE,Rexburg,Rexburg-Madison County,None,0%,51
1361,NM,ID,SZT,Sandpoint,Sandpoint,None,0%,"1,234"
1362,NM,ID,U02,Blackfoot,McCarley Field,None,0%,17
1363,GL,IN,MGC,Michigan City,Michigan City Municipal-Phillips Field,None,0%,9
1364,NE,MA,1B2,Edgartown,Katama Airpark,None,0%,32
1365,GL,MI,HAI,Three Rivers,Three Rivers Municipal Dr Haines,None,0%,5
1366,GL,MI,SJX,Beaver Island,Beaver Island,None,0%,"14,985"
1367,GL,MI,SLH,Cheboygan,Cheboygan County,None,0%,269
1368,GL,MN,AEL,Albert Lea,Albert Lea Municipal,None,0%,46
1369,GL,MN,MKT,Mankato,Mankato Regional,None,0%,184
1370,NM,MT,LVM,Livingston,Mission Field,None,0%,189
1371,NM,MT,S01,Conrad,Conrad,None,0%,0
1372,SO,NC,MQI,Manteo,Dare County Regional,None,0%,304
1373,SO,NC,TDF,Roxboro,Person County,None,0%,279
1374,NE,NH,HIE,Whitefield,Mount Washington Regional,None,0%,13
1375,EA,NJ,MIV,Millville,Millville Municipal,None,0%,124
1376,WP,NV,67L,Mesquite,Mesquite,None,0%,138
1377,EA,NY,PTD,Potsdam,Potsdam Municipal/Damon Field/,None,0%,191
1378,GL,OH,2G2,Steubenville,Jefferson County Airpark,None,0%,4
1379,GL,OH,VES,Versailles,Darke County,None,0%,51
1380,SW,OK,RVS,Tulsa,Richard Lloyd Jones Jr,None,0%,343
1381,NM,OR,S21,Sunriver,Sunriver,None,0%,142
1382,EA,PA,MQS,Coatesville,Chester County G O Carlson,None,0%,"1,286"
1383,GL,SD,MHE,Mitchell,Mitchell Municipal,None,0%,207
1384,SO,TN,GKT,Sevierville,Gatlinburg-Pigeon Forge,None,0%,100
1385,SO,TN,M29,Clifton,Hassell Field,None,0%,1
1386,SW,TX,CPT,Cleburne,Cleburne Regional,None,0%,29
1387,SW,TX,FWS,Fort Worth,Fort Worth Spinks,None,0%,113
1388,SW,TX,ODO,Odessa,Odessa-Schlemeyer Field,None,0%,90
1389,SW,TX,TPL,Temple,Draughon-Miller Central Texas Regional,None,0%,92
1390,NM,UT,DTA,Delta,Delta Municipal,None,0%,36
1391,NM,UT,FOM,Fillmore,Fillmore Municipal,None,0%,44
1392,EA,VA,FCI,Chesterfield,Richmond Executive-Chesterfield County,None,0%,776
1393,NE,VT,48VT,Colchester,Cub Cove,None,0%,16
1394,GL,WI,FLD,Fond du Lac,Fond du Lac County,None,0%,"1,670"
1395,GL,WI,MRJ,Mineral Point,Iowa County,None,0%,13
1396,AL,AK,A29,Sitka,Sitka,None,0%,147
1397,AL,AK,BYA,Boundary,Boundary,None,0%,8
1398,AL,AK,CXC,Chitina,Chitina,None,0%,116
1399,AL,AK,CYM,Chatham,Chatham,None,0%,95
1400,AL,AK,FNR,Funter Bay,Funter Bay,None,0%,435
1401,AL,AK,KCR,Colorado Creek,Colorado Creek,None,0%,42
1402,AL,AK,MYK,May Creek,May Creek,None,0%,84
1403,AL,AK,SVW,Sparrevohn,Sparrevohn LRRS,None,0%,49
1404,AL,AK,ZNC,Nyac,Nyac,None,0%,482
1405,SO,AL,8A0,Albertville,Albertville Regional-Thomas J Brumlik Field,None,0%,3
1406,SO,AL,SEM,Selma,Craig Field,None,0%,16
1407,SW,AR,AWM,West Memphis,West Memphis Municipal,None,0%,102
1408,SW,AR,CXW,Conway,Cantrell Field,None,0%,0
1409,WP,AZ,P33,Willcox,Cochise County,None,0%,27
1410,WP,CA,1O2,Lakeport,Lampson Field,None,0%,7
1411,WP,CA,1O6,Dunsmuir,Dunsmuir Municipal-Mott,None,0%,0
1412,WP,CA,L26,Hesperia,Hesperia,None,0%,0
1413,WP,CA,L45,Bakersfield,Bakersfield Municipal,None,0%,23
1414,WP,CA,O55,Bieber,Southard Field,None,0%,1
1415,WP,CA,PAO,Palo Alto,Palo Alto,None,0%,138
1416,WP,CA,SNS,Salinas,Salinas Municipal,None,0%,"2,118"
1417,NE,CT,4B8,Plainville,Robertson Field,None,0%,31
1418,SO,FL,07FA,Key Largo,Ocean Reef Club,None,0%,544
1419,SO,FL,FPR,Fort Pierce,Treasure Coast International,None,0%,553
1420,SO,FL,LNA,West Palm Beach,Palm Beach County Park,None,0%,8
1421,SO,GA,AMG,Alma,Bacon County,None,0%,1
1422,SO,GA,HQU,Thomson,Thomson-McDuffie County,None,0%,147
1423,NM,ID,U78,Soda Springs,Allen H Tigert,None,0%,11
1424,GL,IL,FEP,Freeport,Albertus,None,0%,20
1425,GL,IN,AID,Anderson,Anderson Municipal-Darlington Field,None,0%,43
1426,GL,IN,IMS,Madison,Madison Municipal,None,0%,34
1427,GL,IN,PPO,La Porte,La Porte Municipal,None,0%,514
1428,CE,KS,AAO,Wichita,Colonel James Jabara,None,0%,"1,028"
1429,CE,KS,MPR,McPherson,McPherson,None,0%,"1,272"
1430,CE,KS,TOP,Topeka,Philip Billard Municipal,None,0%,847
1431,NE,MA,1B9,Mansfield,Mansfield Municipal,None,0%,79
1432,NE,ME,B19,Biddeford,Biddeford Municipal,None,0%,16
1433,GL,MI,ACB,Bellaire,Antrim County,None,0%,674
1434,GL,MI,BTL,Battle Creek,W K Kellogg,None,0%,"3,182"
1435,GL,MI,C91,Dowagiac,Dowagiac Municipal,None,0%,0
1436,GL,MI,FKS,Frankfort,Frankfort Dow Memorial Field,None,0%,54
1437,CE,MO,GPH,Mosby,Midwest National Air Center,None,0%,17
1438,SO,MS,GWO,Carroll (County),Greenwood-Leflore,None,0%,76
1439,SO,MS,PQL,Pascagoula,Trent Lott International,None,0%,125
1440,NM,MT,9S5,Three Forks,Three Forks,None,0%,0
1441,SO,NC,FFA,Kill Devil Hills,First Flight,None,0%,28
1442,CE,NE,9V5,Rushville,Modisett,None,0%,0
1443,EA,NY,MGJ,Montgomery,Orange County,None,0%,146
1444,EA,NY,OIC,Norwich,Lt Warren Eaton,None,0%,27
1445,EA,NY,POU,Poughkeepsie,Dutchess County,None,0%,412
1446,GL,OH,16G,Tiffin,Seneca County,None,0%,"1,486"
1447,SW,OK,ADM,Ardmore,Ardmore Municipal,None,0%,101
1448,SW,OK,MIO,Miami,Miami Regional,None,0%,49
1449,SW,OK,PNC,Ponca City,Ponca City Regional,None,0%,"3,250"
1450,NM,OR,4S1,Gold Beach,Gold Beach Municipal,None,0%,213
1451,NM,OR,4S9,Mulino,Mulino State,None,0%,0
1452,NM,OR,AST,Astoria,Astoria Regional,None,0%,"16,735"
1453,NM,OR,ONP,Newport,Newport Municipal,None,0%,"6,375"
1454,NM,OR,S30,Lebanon,Lebanon State,None,0%,0
1455,NM,OR,TMK,Tillamook,Tillamook,None,0%,3
1456,EA,PA,AFJ,Washington,Washington County,None,0%,"1,248"
1457,EA,PA,OQN,West Chester,Brandywine,None,0%,14
1458,EA,PA,PTW,Pottstown,Heritage Field,None,0%,49
1459,EA,PA,W05,Gettysburg,Gettysburg Regional,None,0%,11
1460,SO,SC,GGE,Georgetown,Georgetown County,None,0%,274
1461,GL,SD,9D1,Gregory,Gregory Municipal - Flynn Field,None,0%,11
1462,SO,TN,BGF,Winchester,Winchester Municipal,None,0%,180
1463,SO,TN,DKX,Knoxville,Knoxville Downtown Island,None,0%,106
1464,SO,TN,MOR,Morristown,Moore-Murrell,None,0%,423
1465,SW,TX,GTU,Georgetown,Georgetown Municipal,None,0%,151
1466,SW,TX,LFK,Lufkin,Angelina County,None,0%,89
1467,SW,TX,SWW,Sweetwater,Avenger Field,None,0%,11
1468,NM,UT,1L7,Escalante,Escalante Municipal,None,0%,9
1469,NM,UT,MLF,Milford,Milford Municipal/Ben and Judy Briscoe Field,None,0%,8
1470,EA,VA,DAN,Danville,Danville Regional,None,0%,433
1471,NE,VT,EFK,Newport,Newport State,None,0%,94
1472,NM,WA,DEW,Deer Park,Deer Park,None,0%,102
1473,NM,WA,OMK,Omak,Omak,None,0%,297
1474,NM,WA,PLU,Puyallup,Pierce County - Thun Field,None,0%,32
1475,NM,WA,S40,Prosser,Prosser,None,0%,31
1476,NM,WA,S50,Auburn,Auburn Municipal,None,0%,94
1477,NM,WA,S95,College Place,Martin Field,None,0%,0
1478,GL,WI,MFI,Marshfield,Marshfield Municipal,None,0%,121
1479,EA,WV,I18,Ravenswood,Jackson County,None,0%,0
1480,EA,WV,MRB,Martinsburg,Eastern WV Regional/Shepherd Field,None,0%,206
1481,NM,WY,FBR,Fort Bridger,Fort Bridger,None,0%,3
1482,NM,WY,HSG,Thermopolis,Hot Springs County,None,0%,0
1483,SW,AR,SLG,Siloam Springs,Smith Field,None,0%,6
1484,WP,AZ,40G,Grand Canyon,Valle,None,0%,303
1485,WP,AZ,A09,Bullhead City,Eagle Airpark,None,0%,2
1486,WP,CA,2O3,Angwin,Angwin-Parrett Field,None,0%,1
1487,WP,CA,CVH,Hollister,Hollister Municipal,None,0%,132
1488,WP,CA,DLO,Delano,Delano Municipal,None,0%,2
1489,WP,CA,PVF,Placerville,Placerville,None,0%,0
1490,WP,CA,RHV,San Jose,Reid-Hillview of Santa Clara County,None,0%,4
1491,NM,CO,2V5,Wray,Wray Municipal,None,0%,0
1492,NM,CO,AIB,Nucla,Hopkins Field,None,0%,31
1493,NM,CO,GWS,Glenwood Springs,Glenwood Springs Municipal,None,0%,1
1494,SO,FL,CEW,Crestview,Bob Sikes,None,0%,40
1495,SO,FL,FIN,Bunnell,Flagler Executive,None,0%,94
1496,SO,FL,X14,La Belle,La Belle Municipal,None,0%,15
1497,SO,GA,WDR,Winder,Barrow County,None,0%,6
1498,CE,IA,ICL,Clarinda,Schenck Field,None,0%,7
1499,CE,IA,MXO,Monticello,Monticello Regional,None,0%,266
1500,NM,ID,SMN,Salmon,Lemhi County,None,0%,"6,076"
1501,SW,LA,CWF,Lake Charles,Chennault International,None,0%,"1,158"
1502,NE,MA,3B0,Southbridge,Southbridge Municipal,None,0%,6
1503,NE,MA,ORE,Orange,Orange Municipal,None,0%,32
1504,NE,ME,8B0,Rangeley,Steven A Bean Municipal,None,0%,42
1505,GL,MI,3TR,Niles,Jerry Tyler Memorial,None,0%,86
1506,GL,MI,N98,Boyne City,Boyne City Municipal,None,0%,10
1507,GL,MI,RMY,Marshall,Brooks Field,None,0%,31
1508,GL,MI,TEW,Mason,Mason Jewett Field,None,0%,43
1509,GL,MN,MML,Marshall,Southwest Minnesota Regional Marshall/Ryan Field,None,0%,"3,372"
1510,GL,MN,RGK,Red Wing,Red Wing Regional,None,0%,41
1511,GL,MN,SYN,Stanton,Stanton Airfield,None,0%,0
1512,SO,MS,OLV,Olive Branch,Olive Branch,None,0%,246
1513,NM,MT,0MT3,Hamilton,Stock Farm,None,0%,0
1514,NM,MT,3U8,Big Sandy,Big Sandy,None,0%,0
1515,NM,MT,6S5,Hamilton,Ravalli County,None,0%,968
1516,NM,MT,7S0,Ronan,Ronan,None,0%,126
1517,NM,MT,8S1,Polson,Polson,None,0%,0
1518,NM,MT,97M,Ekalaka,Ekalaka,None,0%,0
1519,NM,MT,9S2,Scobey,Scobey,None,0%,0
1520,NM,MT,S09,Hot Springs,Hot Springs,None,0%,0
1521,NM,MT,THM,Thompson Falls,Thompson Falls,None,0%,42
1522,SO,NC,MRH,Beaufort,Michael J Smith Field,None,0%,530
1523,GL,ND,D50,Crosby,Crosby Municipal,None,0%,8
1524,GL,ND,D60,Tioga,Tioga Municipal,None,0%,15
1525,CE,NE,CNP,Chappell,Billy G Ray Field,None,0%,0
1526,CE,NE,GGF,Grant,Grant Municipal,None,0%,9
1527,CE,NE,OGA,Ogallala,Searle Field,None,0%,5
1528,CE,NE,OKS,Oshkosh,Garden County,None,0%,0
1529,CE,NE,TIF,Thedford,Thomas County,None,0%,0
1530,EA,NJ,17N,Cross Keys,Cross Keys,None,0%,0
1531,EA,NY,44N,Millbrook,Sky Acres,None,0%,37
