,FAA Region,ST,Locid,City,Airport Name,Hub,04-14 perc. enplanements,Total Enplanements
273,SO,NC,PGV,Greenville,Pitt-Greenville,N,0%,"605,693"
274,NM,UT,ENV,Wendover,Wendover,None,0%,"484,344"
275,WP,NV,HND,Las Vegas,Henderson Executive,N,0%,"326,483"
276,SO,SC,FLO,Florence,Florence Regional,N,0%,"669,365"
277,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,N,0%,"647,877"
278,SO,GA,CSG,Columbus,Columbus,N,0%,"626,785"
279,NM,WA,PUW,Pullman,Pullman/Moscow Regional,N,0%,"353,081"
280,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,N,0%,"532,951"
281,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,N,0%,"463,738"
282,WP,MP,TNI,Tinian (Municipality),Tinian International,N,0%,"277,553"
283,SO,AL,DHN,Dothan,Dothan Regional,N,0%,"565,950"
284,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,N,0%,"274,788"
285,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,N,0%,"489,070"
286,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,N,0%,"511,627"
287,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,N,0%,"128,757"
288,GL,MI,SAW,Gwinn,Sawyer International,N,0%,"599,014"
289,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,N,0%,"188,655"
290,NM,WA,ALW,Walla Walla,Walla Walla Regional,N,0%,"333,080"
291,AL,AK,HOM,Homer,Homer,N,0%,"434,380"
292,WP,HI,LNY,Lanai City,Lanai,N,0%,"531,048"
293,SO,GA,VLD,Valdosta,Valdosta Regional,N,0%,"434,449"
294,AL,AK,5KE,Ketchikan,Ketchikan Harbor,None,0%,"459,114"
295,SO,MS,GTR,Columbus,Golden Triangle Regional,N,0%,"387,271"
296,SO,SC,HXD,Hilton Head Island,Hilton Head,N,0%,"732,462"
297,CE,IA,DBQ,Dubuque,Dubuque Regional,N,0%,"426,685"
298,AL,AK,AKN,King Salmon,King Salmon,N,0%,"430,627"
299,SW,NM,ROW,Roswell,Roswell International Air Center,N,0%,"294,301"
300,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,N,0%,"348,951"
301,SO,GA,BQK,Brunswick,Brunswick Golden Isles,N,0%,"344,483"
302,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,N,0%,"419,656"
303,WP,CA,VCV,Victorville,Southern California Logistics,None,0%,"314,929"
304,SO,GA,ABY,Albany,Southwest Georgia Regional,N,0%,"385,468"
305,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,N,0%,"372,959"
306,SW,TX,BPT,Beaumont,Jack Brooks Regional,N,0%,"333,591"
307,NM,WY,COD,Cody,Yellowstone Regional,N,0%,"311,770"
308,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,N,0%,"56,528"
309,GL,IL,BLV,Belleville,Scott AFB/Midamerica,N,0%,"153,838"
310,EA,VA,NGU,Norfolk,Norfolk NS (Chambers Field),None,0%,"390,040"
311,AL,AK,DUT,Unalaska,Unalaska,N,0%,"320,494"
312,NE,CT,HVN,New Haven,Tweed-New Haven,N,0%,"431,609"
313,WP,CA,RDD,Redding,Redding Municipal,N,0%,"541,868"
314,NM,WY,GCC,Gillette,Gillette-Campbell County,N,0%,"283,039"
315,CE,NE,AUH,Aurora,Aurora Municipal - Al Potter Field,None,0%,"12,122"
316,WP,HI,JHM,Lahaina,Kapalua,None,0%,"478,667"
317,CE,MO,JLN,Joplin,Joplin Regional,N,0%,"162,477"
318,NM,WA,WN22,Seattle,Lake Union,None,0%,"122,589"
319,GL,SD,ABR,Aberdeen,Aberdeen Regional,N,0%,"275,458"
320,NM,MT,BTM,Butte,Bert Mooney,N,0%,"343,854"
321,CE,KS,GCK,Garden City,Garden City Regional,N,0%,"156,719"
322,CE,IA,ALO,Waterloo,Waterloo Regional,N,0%,"303,601"
323,AL,AK,DLG,Dillingham,Dillingham,N,0%,"416,012"
324,SO,VI,VI22,Charlotte Amalie,Charlotte Amalie Harbor,None,0%,"609,725"
325,SO,VI,VI32,Christiansted St Croix,Christiansted Harbor-SSB,None,0%,"602,624"
